"inspection_id","establishment_name","address","inspection_date.x","establishment_type.y","region","risk_category","inspection_date.y","inspection_time_in","inspector_badge_number","inspector_comments","year.y","lat","long","riskLvl","popInfo"
405221,"grilled cheese dc","1730 pennsylvania","2014-10-27","restaurant total","nw",3,"2014-10-27","10:40 AM",624,"the business has a written employee's health policy for food-borne illness. cfpm dagmawi abedje   fs-59182    exp. 10/31/2016 most recent pest control service date: 10/08/2014 correct stated items within 5-days and 45-days if any question please call area supervisor ms. coleman at 202-535-2180 (sanitizer quaternary ammonium, 100ppm  0.0 ph, 122.4°f)",2014,38.896403,-77.033649,"Risk Cat 3","<b> Establishment Name:   </b> grilled cheese dc <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1730 pennsylvania nw <br> <b>Inspection Date:   </b> 2014-10-27 <br> <b>Inspection Time:   </b> 10:40 AM <br> <b>Inspector Badge No.:   </b> 624 <br> <br> <b>Inspector Comment:   </b> the business has a written employee's health policy for food-borne illness. cfpm dagmawi abedje   fs-59182    exp. 10/31/2016 most recent pest control service date: 10/08/2014 correct stated items within 5-days and 45-days if any question please call area supervisor ms. coleman at 202-535-2180 (sanitizer quaternary ammonium, 100ppm  0.0 ph, 122.4°f)"
104967,"breadsoda","2233 wisconsin","2013-02-21","restaurant total","nw",3,"2013-02-21","12:00 PM",54,"if you have any questions please contact the area supervisor mr. ronnie taylor at 202-442-9037.",2013,38.920029,-77.071239,"Risk Cat 3","<b> Establishment Name:   </b> breadsoda <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 2233 wisconsin nw <br> <b>Inspection Date:   </b> 2013-02-21 <br> <b>Inspection Time:   </b> 12:00 PM <br> <b>Inspector Badge No.:   </b> 54 <br> <br> <b>Inspector Comment:   </b> if you have any questions please contact the area supervisor mr. ronnie taylor at 202-442-9037."
199458,"tsim yung restaurant","3625 12th","2013-10-18","restaurant total","ne",3,"2013-10-18","02:20 PM",611,"correct items stated within 5 days. questions, please call area supervisor ms. coleman at 202-442-5928.",2013,38.934594,-76.991088,"Risk Cat 3","<b> Establishment Name:   </b> tsim yung restaurant <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 3625 12th ne <br> <b>Inspection Date:   </b> 2013-10-18 <br> <b>Inspection Time:   </b> 02:20 PM <br> <b>Inspector Badge No.:   </b> 611 <br> <br> <b>Inspector Comment:   </b> correct items stated within 5 days. questions, please call area supervisor ms. coleman at 202-442-5928."
830906,"america's best wings","1540 benning","2016-08-08","delicatessen","ne",3,"2016-08-08","12:55 PM",607,"3 day notice 504.1 abated from inspection conducted 8/4/2016. 14 day notice 3200.1 abated from inspection conducted 8/4/2016. failure to comply with 3 day notice 1005.1 (further action shall be taken). correct item stated within 3 calendar days. please submit all questions or inquiries to the area supervisor at food.safety@dc.gov.",2016,38.900074,-76.982629,"Risk Cat 3","<b> Establishment Name:   </b> america's best wings <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1540 benning ne <br> <b>Inspection Date:   </b> 2016-08-08 <br> <b>Inspection Time:   </b> 12:55 PM <br> <b>Inspector Badge No.:   </b> 607 <br> <br> <b>Inspector Comment:   </b> 3 day notice 504.1 abated from inspection conducted 8/4/2016. 14 day notice 3200.1 abated from inspection conducted 8/4/2016. failure to comply with 3 day notice 1005.1 (further action shall be taken). correct item stated within 3 calendar days. please submit all questions or inquiries to the area supervisor at food.safety@dc.gov."
607610,"mcdonald's","1901 9th","2015-02-04","restaurant total","ne",3,"2015-02-04","10:00 AM",611,"cfpm: maria i. saavedra 55604 exp 07/02/2015. correct items stated on site. questions, please call area supervisor ms. coleman at 202-442-5928.",2015,38.917271,-76.99372,"Risk Cat 3","<b> Establishment Name:   </b> mcdonald's <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1901 9th ne <br> <b>Inspection Date:   </b> 2015-02-04 <br> <b>Inspection Time:   </b> 10:00 AM <br> <b>Inspector Badge No.:   </b> 611 <br> <br> <b>Inspector Comment:   </b> cfpm: maria i. saavedra 55604 exp 07/02/2015. correct items stated on site. questions, please call area supervisor ms. coleman at 202-442-5928."
21575,"billy's martin's tavern","1264 wisconsin","2010-05-06","restaurant total","nw",3,"2010-05-06","11:40 AM",54,"5-day notice abated from inspection conducted on 04/26/2010 if you have any questions, please call the area supervisor mr. ronnie taylor at 202-442-9037",2010,38.906408,-77.06292,"Risk Cat 3","<b> Establishment Name:   </b> billy's martin's tavern <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1264 wisconsin nw <br> <b>Inspection Date:   </b> 2010-05-06 <br> <b>Inspection Time:   </b> 11:40 AM <br> <b>Inspector Badge No.:   </b> 54 <br> <br> <b>Inspector Comment:   </b> 5-day notice abated from inspection conducted on 04/26/2010 if you have any questions, please call the area supervisor mr. ronnie taylor at 202-442-9037"
204591,"b & j carryout","238 rhode island","2014-06-24","restaurant total","nw",3,"2014-06-24","11:10 AM",612,"license restored for questions call mr taylor at 202-442-9037",2014,38.914792,-77.014686,"Risk Cat 3","<b> Establishment Name:   </b> b & j carryout <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 238 rhode island nw <br> <b>Inspection Date:   </b> 2014-06-24 <br> <b>Inspection Time:   </b> 11:10 AM <br> <b>Inspector Badge No.:   </b> 612 <br> <br> <b>Inspector Comment:   </b> license restored for questions call mr taylor at 202-442-9037"
155476,"point chaud","1012 14th","2012-08-21","restaurant total","nw",3,"2012-08-21","01:30 PM",59,"item was corrected on site. all temperatures were in compliance. if you have any questions you may contact the area supervisor mr. taylor at 202-535-2180",2012,38.902671,-77.03203,"Risk Cat 3","<b> Establishment Name:   </b> point chaud <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1012 14th nw <br> <b>Inspection Date:   </b> 2012-08-21 <br> <b>Inspection Time:   </b> 01:30 PM <br> <b>Inspector Badge No.:   </b> 59 <br> <br> <b>Inspector Comment:   </b> item was corrected on site. all temperatures were in compliance. if you have any questions you may contact the area supervisor mr. taylor at 202-535-2180"
834181,"dc noodles","1410 u","2016-12-22","restaurant total","nw",3,"2016-12-22","02:30 PM",14,"items abated from previous inspection conducted: 300.6 504.1 1901.1 3210.2 810.1 for questions please contact area supervisor at food.safety@dc.gov",2016,38.916922,-77.032942,"Risk Cat 3","<b> Establishment Name:   </b> dc noodles <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1410 u nw <br> <b>Inspection Date:   </b> 2016-12-22 <br> <b>Inspection Time:   </b> 02:30 PM <br> <b>Inspector Badge No.:   </b> 14 <br> <br> <b>Inspector Comment:   </b> items abated from previous inspection conducted: 300.6 504.1 1901.1 3210.2 810.1 for questions please contact area supervisor at food.safety@dc.gov"
205589,"sip of ,se,attle","1120 g","2014-08-19","restaurant total","nw",3,"2014-08-19","12:30 PM",124,"all items must be abated from previous inspection conducted. if you have any questions, please contact mrs. coleman at (202) 442-5928.",2014,38.898241,-77.0272,"Risk Cat 3","<b> Establishment Name:   </b> sip of ,se,attle <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1120 g nw <br> <b>Inspection Date:   </b> 2014-08-19 <br> <b>Inspection Time:   </b> 12:30 PM <br> <b>Inspector Badge No.:   </b> 124 <br> <br> <b>Inspector Comment:   </b> all items must be abated from previous inspection conducted. if you have any questions, please contact mrs. coleman at (202) 442-5928."
124096,"pasta italiana","2623 connecticut","2011-05-06","restaurant total","nw",3,"2011-05-06","11:00 AM",626,"for further questions please contact mr.ronnie taylor at 202 535-2180 cfpm ahmed ashrafi#41542",2011,38.923902,-77.05163,"Risk Cat 3","<b> Establishment Name:   </b> pasta italiana <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 2623 connecticut nw <br> <b>Inspection Date:   </b> 2011-05-06 <br> <b>Inspection Time:   </b> 11:00 AM <br> <b>Inspector Badge No.:   </b> 626 <br> <br> <b>Inspector Comment:   </b> for further questions please contact mr.ronnie taylor at 202 535-2180 cfpm ahmed ashrafi#41542"
198912,"sbarro","50 massachusetts","2013-09-20","restaurant total","ne",3,"2013-09-20","10:45 AM",611,"cfpm: glenda c soto 52990 exp 04/17/2015. correct items within 5 day and 45 day. questions, please call area supervisor ms. coleman at 202-442-5928.",2013,38.89732,-77.008425,"Risk Cat 3","<b> Establishment Name:   </b> sbarro <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 50 massachusetts ne <br> <b>Inspection Date:   </b> 2013-09-20 <br> <b>Inspection Time:   </b> 10:45 AM <br> <b>Inspector Badge No.:   </b> 611 <br> <br> <b>Inspector Comment:   </b> cfpm: glenda c soto 52990 exp 04/17/2015. correct items within 5 day and 45 day. questions, please call area supervisor ms. coleman at 202-442-5928."
834357,"boundary road restaurant (n)","414 h","2017-01-05","restaurant total","ne",3,"2017-01-05","04:00 PM",54,"correct item stated within 3 days and item stated within 14 days. please submit questions to the area supervisor at food.safety@dc.gov",2017,38.900278,-77.000426,"Risk Cat 3","<b> Establishment Name:   </b> boundary road restaurant (n) <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 414 h ne <br> <b>Inspection Date:   </b> 2017-01-05 <br> <b>Inspection Time:   </b> 04:00 PM <br> <b>Inspector Badge No.:   </b> 54 <br> <br> <b>Inspector Comment:   </b> correct item stated within 3 days and item stated within 14 days. please submit questions to the area supervisor at food.safety@dc.gov"
126203,"baja fresh mexican grill","1990 k","2012-01-18","restaurant total","nw",3,"2012-01-18","11:07 AM",19,"cfpm-maria r. castro,fs-43472,expiration date-05/14/2013. correct items stated within 5 days correct items stated within 45 days if you have any questions, please contact the area supervisor mr. ronnie taylor at 202-442-9037. temperatures: cook temp-grill chicken 143f, chicken returned to grill, final cook temp-180f cook temp-grill steak 130f,steak returned to grill, final cook temp-168f hot holding spanish rice 144f- steam table,  holding oven drawers-164f cilantro rice 149f-steam table cold holding salsa bar pico de gallo-39.7f salsa verde-41.5f salsa baja-41f mango salsa 38f,reach-in refrigeration unit mixed vegetables-squash and onions 69f,reach-in refrigerated drawers garlic,oil and lime marinade,45f,refrigerated drawers all meat items cooked fresh daily, cooked and served only,leftovers discarded daily. during the inspection wahoo fish not prepared on the grill. food items provided through u.s. foods,deliveries received every monday and thursday. salsa replaced every two hours on the salsa bar. temperature logs recorded twice daily, logs accurate at call. employee health policy kept at the coporate office, requested that employee copies kept in-house as well, for review at the time of health inspections.",2012,38.902451,-77.044773,"Risk Cat 3","<b> Establishment Name:   </b> baja fresh mexican grill <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1990 k nw <br> <b>Inspection Date:   </b> 2012-01-18 <br> <b>Inspection Time:   </b> 11:07 AM <br> <b>Inspector Badge No.:   </b> 19 <br> <br> <b>Inspector Comment:   </b> cfpm-maria r. castro,fs-43472,expiration date-05/14/2013. correct items stated within 5 days correct items stated within 45 days if you have any questions, please contact the area supervisor mr. ronnie taylor at 202-442-9037. temperatures: cook temp-grill chicken 143f, chicken returned to grill, final cook temp-180f cook temp-grill steak 130f,steak returned to grill, final cook temp-168f hot holding spanish rice 144f- steam table,  holding oven drawers-164f cilantro rice 149f-steam table cold holding salsa bar pico de gallo-39.7f salsa verde-41.5f salsa baja-41f mango salsa 38f,reach-in refrigeration unit mixed vegetables-squash and onions 69f,reach-in refrigerated drawers garlic,oil and lime marinade,45f,refrigerated drawers all meat items cooked fresh daily, cooked and served only,leftovers discarded daily. during the inspection wahoo fish not prepared on the grill. food items provided through u.s. foods,deliveries received every monday and thursday. salsa replaced every two hours on the salsa bar. temperature logs recorded twice daily, logs accurate at call. employee health policy kept at the coporate office, requested that employee copies kept in-house as well, for review at the time of health inspections."
837193,"psb cafe","2 massachusetts","2017-04-06","restaurant total","ne",3,"2017-04-06","10:04 AM",611,"cfpm: jason cho fs-73220 exp: 12/23/2019. notice abated from inspection of 04/05/2017. restoration!",2017,38.897554,-77.009065,"Risk Cat 3","<b> Establishment Name:   </b> psb cafe <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 2 massachusetts ne <br> <b>Inspection Date:   </b> 2017-04-06 <br> <b>Inspection Time:   </b> 10:04 AM <br> <b>Inspector Badge No.:   </b> 611 <br> <br> <b>Inspector Comment:   </b> cfpm: jason cho fs-73220 exp: 12/23/2019. notice abated from inspection of 04/05/2017. restoration!"
825915,"morgan lewis & bockius café","1111 pennsylvania","2016-06-30","restaurant total","nw",3,"2016-06-30","01:30 PM",82,"items abated from the previous inspection conducted on 6/20/2016: 25 dcmr 203.3, 1809.1",2016,38.898314,-77.033644,"Risk Cat 3","<b> Establishment Name:   </b> morgan lewis & bockius café <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1111 pennsylvania nw <br> <b>Inspection Date:   </b> 2016-06-30 <br> <b>Inspection Time:   </b> 01:30 PM <br> <b>Inspector Badge No.:   </b> 82 <br> <br> <b>Inspector Comment:   </b> items abated from the previous inspection conducted on 6/20/2016: 25 dcmr 203.3, 1809.1"
104954,"awash restaurant","2218 18th","2013-02-12","restaurant total","nw",3,"2013-02-12","01:45 PM",54,"5 day notice abated from the inspection conducted on 01/22/2013. corrected items stated within 45 days. if you have any questions please contact the area supervisor mr. ronnie taylor at 202-442-9037.",2013,38.918651,-77.041606,"Risk Cat 3","<b> Establishment Name:   </b> awash restaurant <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 2218 18th nw <br> <b>Inspection Date:   </b> 2013-02-12 <br> <b>Inspection Time:   </b> 01:45 PM <br> <b>Inspector Badge No.:   </b> 54 <br> <br> <b>Inspector Comment:   </b> 5 day notice abated from the inspection conducted on 01/22/2013. corrected items stated within 45 days. if you have any questions please contact the area supervisor mr. ronnie taylor at 202-442-9037."
180200,"madrid spanish tapas","1714 connecticut","2013-04-09","restaurant total","nw",3,"2013-04-09","01:45 PM",107,"certified food manager ana ursu fs#55113 expire 1-31-16. correct critical violations within 5 days and non critical violations within 45 days. if you have any questions, please contact mr. ronnie taylor, supervisor on (202)442-9037.",2013,38.912781,-77.045332,"Risk Cat 3","<b> Establishment Name:   </b> madrid spanish tapas <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1714 connecticut nw <br> <b>Inspection Date:   </b> 2013-04-09 <br> <b>Inspection Time:   </b> 01:45 PM <br> <b>Inspector Badge No.:   </b> 107 <br> <br> <b>Inspector Comment:   </b> certified food manager ana ursu fs#55113 expire 1-31-16. correct critical violations within 5 days and non critical violations within 45 days. if you have any questions, please contact mr. ronnie taylor, supervisor on (202)442-9037."
832902,"panda carryout","1807 west virginia","2016-10-27","delicatessen","ne",3,"2016-10-27","11:59 AM",611,"hand sink provided at rear area. keep improving air gap at 3-comp-sink drain.",2016,38.89385,-77.044086,"Risk Cat 3","<b> Establishment Name:   </b> panda carryout <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1807 west virginia ne <br> <b>Inspection Date:   </b> 2016-10-27 <br> <b>Inspection Time:   </b> 11:59 AM <br> <b>Inspector Badge No.:   </b> 611 <br> <br> <b>Inspector Comment:   </b> hand sink provided at rear area. keep improving air gap at 3-comp-sink drain."
607562,"the ,se,ed public charter school of washington dc","4300 c","2015-02-03","school cafeteria","se",3,"2015-02-03","12:51 PM",650,"the establishment's employee health policy regarding the prevention of foodborne illness is on file. refrigerator and freezer temperature logs are posted and up-to-date. correct items stated within 5 days correct items stated within 45 days if you have any questions, please call area supervisor, mr. ronnie taylor, at 202-442-9037.",2015,38.886508,-76.945036,"Risk Cat 3","<b> Establishment Name:   </b> the ,se,ed public charter school of washington dc <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 4300 c se <br> <b>Inspection Date:   </b> 2015-02-03 <br> <b>Inspection Time:   </b> 12:51 PM <br> <b>Inspector Badge No.:   </b> 650 <br> <br> <b>Inspector Comment:   </b> the establishment's employee health policy regarding the prevention of foodborne illness is on file. refrigerator and freezer temperature logs are posted and up-to-date. correct items stated within 5 days correct items stated within 45 days if you have any questions, please call area supervisor, mr. ronnie taylor, at 202-442-9037."
836322,"italian gourmet deli","470 l'enfant","2017-03-15","delicatessen","sw",3,"2017-03-15","10:18 AM",611,"cfpm: adeena lama fs-69285 exp 01/25/2018.notice abated from inspection conducted on 03/03/2017. please submit questions/inquires to area supervisor at food.safety@dc.gov",2017,38.873908,-76.971333,"Risk Cat 3","<b> Establishment Name:   </b> italian gourmet deli <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 470 l'enfant sw <br> <b>Inspection Date:   </b> 2017-03-15 <br> <b>Inspection Time:   </b> 10:18 AM <br> <b>Inspector Badge No.:   </b> 611 <br> <br> <b>Inspector Comment:   </b> cfpm: adeena lama fs-69285 exp 01/25/2018.notice abated from inspection conducted on 03/03/2017. please submit questions/inquires to area supervisor at food.safety@dc.gov"
814304,"dept of transportation main café","1201 4th","2015-10-21","restaurant total","se",3,"2015-10-21","11:45 AM",82,"correct items stated within 3-days.",2015,38.87648,-77.000581,"Risk Cat 3","<b> Establishment Name:   </b> dept of transportation main café <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1201 4th se <br> <b>Inspection Date:   </b> 2015-10-21 <br> <b>Inspection Time:   </b> 11:45 AM <br> <b>Inspector Badge No.:   </b> 82 <br> <br> <b>Inspector Comment:   </b> correct items stated within 3-days."
824886,"sundevich sandwich shop-d","1314 9th","2016-05-23","restaurant total","nw",3,"2016-05-23","01:40 PM",422,"3-day notice abated from inspection conducted on 04/13/2016. correct item stated within 3-days",2016,38.907696,-77.023964,"Risk Cat 3","<b> Establishment Name:   </b> sundevich sandwich shop-d <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1314 9th nw <br> <b>Inspection Date:   </b> 2016-05-23 <br> <b>Inspection Time:   </b> 01:40 PM <br> <b>Inspector Badge No.:   </b> 422 <br> <br> <b>Inspector Comment:   </b> 3-day notice abated from inspection conducted on 04/13/2016. correct item stated within 3-days"
104208,"sawah diner (s)","2224 18th","2011-05-13","restaurant total","nw",3,"2011-05-13","10:30 AM",54,"the dc cfm is mehmet ayhan: fs43653 will expire 6/11/2013. violations abated from inspection conducted on 5/10/2011. no objection to restoration; business license returned to the person in charge. no objection to renewal of license. if you have any questions please contact the area supervisor mr. ronnie taylor at 202-442-9037.",2011,38.918694,-77.041606,"Risk Cat 3","<b> Establishment Name:   </b> sawah diner (s) <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 2224 18th nw <br> <b>Inspection Date:   </b> 2011-05-13 <br> <b>Inspection Time:   </b> 10:30 AM <br> <b>Inspector Badge No.:   </b> 54 <br> <br> <b>Inspector Comment:   </b> the dc cfm is mehmet ayhan: fs43653 will expire 6/11/2013. violations abated from inspection conducted on 5/10/2011. no objection to restoration; business license returned to the person in charge. no objection to renewal of license. if you have any questions please contact the area supervisor mr. ronnie taylor at 202-442-9037."
